"","word","values"
"448","Einschränkung","-0.2048"
"449","Einschränkungen","-0.2048"
"450","Einschüchterung","-0.0048"
"451","Einschüchterungen","-0.0048"
"452","Einsturz","-0.0048"
"453","Einstürzen","-0.0048"
"454","Einsturzs","-0.0048"
"455","Einsturzes","-0.0048"
"456","Einstürze","-0.0048"
"457","Ekel","-0.462"
"458","Ekeln","-0.462"
"459","Ekeles","-0.462"
"460","Ekels","-0.462"
"461","Elend","-0.2013"
"462","Elends","-0.2013"
"463","Empörung","-0.0048"
"464","Empörungen","-0.0048"
"465","Ende","-0.2088"
"466","Endes","-0.2088"
"467","Enden","-0.2088"
"468","Energielosigkeit","-0.0048"
"469","Entbindung","-0.0048"
"470","Entbindungen","-0.0048"
"471","Entfremdung","-0.0048"
"472","Entfremdungen","-0.0048"
"473","Entführung","-0.0048"
"474","Entführungen","-0.0048"
"475","Enthauptung","-0.0048"
"476","Enthauptungen","-0.0048"
"477","Entlassung","-0.0048"
"478","Entlassungen","-0.0048"
"479","Entmutigung","-0.0048"
"480","Entmutigungen","-0.0048"
"481","Enttäuschung","-0.3378"
"482","Enttäuschungen","-0.3378"
"483","Entziehung","-0.0048"
"484","Entziehungen","-0.0048"
"485","Epidemie","-0.0048"
"486","Epidemien","-0.0048"
"487","Ermahnung","-0.0048"
"488","Ermahnungen","-0.0048"
"489","Ermordung","-0.332"
"490","Ermordungen","-0.332"
"491","Ermüdung","-0.0048"
"492","Ermüdungen","-0.0048"
"493","Erniedrigung","-0.3259"
"494","Erniedrigungen","-0.3259"
"495","Ernüchterung","-0.0048"
"496","Ernüchterungen","-0.0048"
"497","Erosion","-0.0666"
"498","Erosionen","-0.0666"
"499","Erpressung","-0.0048"
"500","Erpressungen","-0.0048"
"501","Erschöpfung","-0.0595"
"502","Erschöpfungen","-0.0595"
"503","Erschütterung","-0.0048"
"504","Erschütterungen","-0.0048"
"505","Explosion","-0.0048"
"506","Explosionen","-0.0048"
"507","Fahrlässigkeit","-0.0048"
"508","Fahrlässigkeiten","-0.0048"
"509","Farce","-0.3349"
"510","Farcen","-0.3349"
"511","Faschist","-0.0048"
"512","Faschisten","-0.0048"
"513","Faulheit","-0.611"
"514","Fehde","-0.0048"
"515","Fehden","-0.0048"
"516","Fehlanzeige","-0.0048"
"517","Fehlanzeigen","-0.0048"
"518","Fehler","-0.6752"
"519","Fehlern","-0.6752"
"520","Fehlers","-0.6752"
"521","Fehlermeldung","-0.4765"
"522","Fehlermeldungen","-0.4765"
"523","Fehlkauf","-0.0048"
"524","Fehlkaufes","-0.0048"
"525","Fehlkaufs","-0.0048"
"526","Fehlkäufe","-0.0048"
"527","Fehlkäufen","-0.0048"
"528","Fehlkonstruktion","-0.0048"
"529","Fehlkonstruktionen","-0.0048"
"530","Fehlleistung","-0.0048"
"531","Fehlleistungen","-0.0048"
"532","Fehltritt","-0.0048"
"533","Fehltrittes","-0.0048"
"534","Fehltritten","-0.0048"
"535","Fehltritte","-0.0048"
"536","Fehltritts","-0.0048"
"537","Fehlverhalten","-0.3461"
"538","Feind","-0.8054"
"539","Feindes","-0.8054"
"540","Feinde","-0.8054"
"541","Feinds","-0.8054"
"542","Feinden","-0.8054"
"543","Feuer","-0.0445"
"544","Feuern","-0.0445"
"545","Feuers","-0.0445"
"546","Fiasko","-0.0048"
"547","Fiaskos","-0.0048"
"548","Finanzkrise","-0.3283"
"549","Finanzkrisen","-0.3283"
"550","Finte","-0.0048"
"551","Finten","-0.0048"
"552","Flaute","-0.0413"
"553","Flauten","-0.0413"
"554","Fluch","-0.3534"
"555","Fluchs","-0.3534"
"556","Flüchen","-0.3534"
"557","Flüche","-0.3534"
"558","Fluches","-0.3534"
"559","Flucht","-0.0048"
"560","Fluchten","-0.0048"
"561","Flüchtiger","-0.0048"
"562","Flüchtigkeit","-0.0048"
"563","Flüchtigkeiten","-0.0048"
"564","Flüchtling","-0.0048"
"565","Flüchtlings","-0.0048"
"566","Flüchtlinge","-0.0048"
"567","Flüchtlinges","-0.0048"
"568","Flüchtlingen","-0.0048"
"569","Frechheit","-0.4665"
"570","Frechheiten","-0.4665"
"571","Frust","-0.469"
"572","Frustes","-0.469"
"573","Frusts","-0.469"
"574","Frustration","-0.3354"
"575","Frustrationen","-0.3354"
"576","Furcht","-0.5012"
"577","Fälschung","-0.3377"
"578","Fälschungen","-0.3377"
"579","Gammler","-0.0048"
"580","Gammlers","-0.0048"
"581","Gammlern","-0.0048"
"582","Gangster","-0.3375"
"583","Gangsters","-0.3375"
"584","Gangstern","-0.3375"
"585","Garnichts","-0.0048"
"586","Gauner","-0.4592"
