"candidates","Intercept","neg.x","pos.x","hashtag_count.x","URL_dummy","tweet_count","mean_pos","median_pos","var_pos","neg.y","pos.y","V2","followers_count","retweet_count","favorite_count","hashtag_count.y","party","land","opposition","extremity"
"juliadielinke",1.10633973059057,-0.212626590556448,-0.684239676344322,-0.0611243413588588,1.26632171536412,25,-0.702147928520422,-0.655467327129957,2.34865897196164,0.079632,0.1157,0.195332,101.92,1.96,5.08,1.44,"DIE LINKE","Bayern",1,0.42963741693489
"kai_klose",0.952694040276855,1.34144300889331,0.8793127500804,0.296125576337659,0.847180547463228,222,-0.618701754545289,-0.398192823234297,1.85124698247561,0.0286648648648649,0.0813441441441441,0.110009009009009,4264.3963963964,0.936936936936937,6.33333333333333,0.707207207207207,"GRUENE","Hessen",0,0.1585575244753
"karin_wolff",0.774301518442085,0.79867966747482,0.734717805590856,0.304467934604529,0.532505221675878,184,-0.693752614309824,-0.408852593196323,1.89097377146725,0.0246548913043478,0.101163043478261,0.125817934782609,1428.91847826087,0.396739130434783,2.78260869565217,0.21195652173913,"Union","Hessen",0,0.167160442963358
"karlfreller",2.17124041449579,1.0338181524454,-0.785957270055241,-0.221632484032727,1.18226841269483,244,-0.574543897453069,-0.535748941771218,2.93990515841127,0.0436770491803279,0.130602459016393,0.174279508196721,1343.5737704918,3.35245901639344,14.8401639344262,1.84016393442623,"Union","Bayern",0,0.28702692860898
"kathrin_anders",0.592151710449495,0.0277637171441178,0.35069368690997,0.0377234891531713,0.935195167791413,121,-0.78000967500286,-0.501945216676109,2.19444829077001,0.100011570247934,0.058795041322314,0.158806611570248,305.545454545455,0.553719008264463,3.33057851239669,1.1404958677686,"GRUENE","Hessen",0,0.251949000544026
"kayakinkel",1.54764518274692,-0.0259102914321831,0.182246932209907,-0.0132148656904432,0.376946279165275,84,-1.00443426443631,-0.869573540444597,2.04706790652551,0.0308214285714286,0.225555952380952,0.256377380952381,617.607142857143,0.952380952380952,5.35714285714286,2.44047619047619,"GRUENE","Hessen",0,0.756158142241351
"kerstincelina",1.83731089330281,0.485794937928879,-0.429871981563995,0.0408843597429194,-0.223102993913876,295,-1.24117068081078,-1.1445060404077,3.12868170878603,0.0669986440677966,0.148564745762712,0.215563389830508,796.684745762712,1.09491525423729,5.62033898305085,5.81016949152542,"GRUENE","Bayern",1,1.30989407652971
"klaus_ltw2018",-1.15456350379507,0.653412336220525,-0.71494969120224,-0.228621930653015,1.44458428209078,76,-0.815846880828534,-0.535571650369727,3.2503827619551,0.118731578947368,0.100565789473684,0.219297368421053,16,0.5,0.763157894736842,0.105263157894737,"GRUENE","Bayern",1,0.286836992679753
"klausadelt",2.52609428799512,0.0372581913066596,-0.353676998817244,-0.962766932767327,-1.27589512502457,55,-0.679546120327258,-0.676949235252835,2.42923315798005,0.103710909090909,0.0859,0.189610909090909,308.563636363636,1.18181818181818,6.41818181818182,0.0545454545454545,"SPD","Bayern",1,0.458260267109398
"knutjohn_spd",-0.290558971883169,-0.301978497037393,-0.29099961056827,-0.191053882126934,2.05069325330464,50,-0.882289080670087,-0.68781786246502,2.10132007139878,0.030398,0.141324,0.171722,14.54,0.44,2.52,2.84,"SPD","Hessen",1,0.473093411925949
