"number","text","code","Anmerkung"
"189","Gemeinsam mit #tsg18 für bezahlbaren Wohnraum, Bildungsgerechtigkeit von Anfang an und für Mobilität in Stadt und Land... aber vor allem auch für eine brutale Modernisierungsdebatte im Zuge des digitalen Wandels! #LTWHE18 #AndreaGerlachSPDdigital #mehrasf #SPDerneuern https://t.co/LOTRKbsEFo","",""
"192","Ich freue mich sooo sehr auf die Bundeskonferenz der ASF in Saarbrücken! https://t.co/ZXLiWh9sov","",""
"198","Herzliche Gratulation an die @Eintracht zum sensationellen 7:1! Wahnsinns Leistung! Übrigens Genossinnen und Genossen, so ne Mannschaftsleistung bringen wir im Endspurt auch hin. <U+0001F609> Vorwärts! #tsg18 https://t.co/bwBy01VfSW","",""
"200","Wo ist Bouffier? Chefs von DFS, DLH, Fraport, MP von NRW, BGM von HH, BM Scheuer - alle diskutieren über Luftverkehr, nur der MP des wichtigsten Standorts Hessen fehlt. Das ist einfach peinlich, passt aber leider zu Bouffiers Desinteresse am Flughafen FRA. https://t.co/SR6vfGGp5a","",""
"205","Wichtige Diskussion, die von den Genossinnen und Genossen weitergeführt werden muss. Im Bund - im Land - in den Kommunen. https://t.co/VHqVyj1YA3","",""
"206","Spanien macht es vor und gibt Mut für die Sozialdemokratie. Noch 137 Tage bis zum Wechsel in Hessen! #tsg18 #ltwhe18 #AndreaGerlachSPDdigital https://t.co/TMEczAywou https://t.co/TMEczAywou","",""
"207","Das ist unser Team für Hessen. 55 Kandidatinnen und Kandidaten, die alles dafür tun, dass der nächste Ministerpräsident TSG @tsghessen heißt und Hessen wieder zu einem zukunftsgerichteten und gerechten Bundesland zu machen. #tsg18 #SPDLTP18 #AndreaGerlachSPDdigital #zjm https://t.co/7n3f7NnjFr","",""
"208","Vor wenigen Wochen hat ihn das weder interessiert noch war es seine Meinung. Vor drei Wochen wurde das im Landtag noch in namentlicher Abstimmung von der CDU abgelehnt. Nach 19 Jahren gibt es überhaupt keine Linie mehr bei #Bouffier. https://t.co/2S2YnbQ8c1","",""
"210","6:22 min um auf den Punkt zu kommen! Bäm! Klare Worte statt Märchen @tsghessen #TVDuell #hrwahl #LtwHessen #tsg18 #AndreaGerlachSPDdigital","",""
"211","@christoph7de @GertUweMende Das hessische Silicon Valley liegt definitiv nicht im Taunus<U+0001F602>","",""
"213","Manch einer träumt von Silicon Valley in Hessen... und hat noch nicht mal einen Breitbandausbau hinbekommen. Kannst de nicht erfinden. #hrWAHL #LtwHessen #tsg18 https://t.co/JKg3tux8Ua","",""
